run,generation,best_gen_raw,avg_raw,std_dev_raw
47,0,0.000010,0.000000,0.000002
47,1,0.000100,0.000001,0.000009
47,2,0.010000,0.000057,0.000709
47,3,0.010000,0.000038,0.000509
47,4,0.001000,0.000010,0.000073
47,5,0.001000,0.000016,0.000112
47,6,0.010000,0.000045,0.000514
47,7,0.010000,0.000164,0.001219
47,8,0.100000,0.000607,0.007109
47,9,0.010000,0.000171,0.001123
47,10,0.100000,0.000396,0.005094
47,11,0.100000,0.000488,0.005182
47,12,0.100000,0.000785,0.007198
47,13,0.100000,0.001101,0.008763
47,14,54.600000,0.261787,3.686957
47,15,0.100000,0.001892,0.011283
47,16,43.700000,0.111079,2.184937
47,17,45.300000,0.291116,3.382175
47,18,50.600000,0.240295,3.371488
47,19,52.400000,0.209258,3.008117
47,20,48.400000,0.326085,3.697792
47,21,49.500000,0.369046,3.736244
47,22,55.600000,0.723364,5.451792
47,23,52.300000,0.872812,5.844902
47,24,50.700000,0.946941,6.262549
47,25,55.700000,1.737333,8.345672
47,26,61.300000,1.895406,9.078210
47,27,60.300000,2.186082,9.211161
47,28,63.600000,4.037045,12.505364
47,29,70.400000,4.371670,13.229447
47,30,67.300000,6.069044,15.277689
47,31,65.400000,5.833754,14.828495
47,32,61.400000,7.157194,15.844399
47,33,73.000000,6.993309,15.741357
47,34,66.600000,6.904118,15.721938
47,35,64.400000,8.977804,17.158134
47,36,66.500000,10.003488,18.247053
47,37,63.400000,13.541832,19.656025
47,38,65.700000,14.680592,20.312951
47,39,76.600000,15.123224,20.426088
47,40,63.500000,17.263882,20.811790
47,41,74.200000,16.409009,20.988003
47,42,69.700000,17.985164,21.074696
47,43,69.500000,22.486514,22.245626
47,44,68.500000,24.116391,22.373174
47,45,70.500000,25.421791,22.216492
47,46,71.800000,27.470013,22.643265
47,47,73.300000,29.893188,22.270490
47,48,79.300000,31.687061,22.748903
47,49,72.400000,33.503580,22.940802
47,50,76.300000,35.952828,23.285412
47,51,80.300000,38.262658,23.134934
47,52,80.500000,41.862180,22.394789
47,53,79.400000,44.261333,22.143972
47,54,83.700000,47.054650,22.526697
47,55,86.400000,46.919678,24.174407
47,56,87.500000,52.438105,22.026696
47,57,89.400000,51.638203,25.044303
47,58,90.500000,57.293552,22.756599
47,59,87.500000,59.627827,23.085452
47,60,89.500000,64.279550,19.941128
47,61,89.300000,63.695077,23.411957
47,62,94.600000,67.704575,21.464550
47,63,94.500000,71.095850,20.074747
47,64,97.400000,72.002550,22.355279
47,65,93.400000,74.667000,20.376003
47,66,99.400000,78.068500,16.067730
47,67,98.200000,77.023275,20.423939
47,68,98.400000,80.932250,15.918053
47,69,99.200000,82.209800,17.291457
47,70,103.300000,83.196750,18.847918
47,71,103.300000,85.526775,17.190023
47,72,103.300000,87.179250,17.367000
47,73,103.300000,87.776275,19.703048
47,74,103.300000,91.156750,15.323157
47,75,103.300000,93.614000,12.381922
47,76,103.300000,93.622025,17.092780
47,77,103.300000,94.118775,19.643333
47,78,103.300000,97.195300,15.226699
47,79,103.300000,97.522625,18.147070
47,80,103.300000,99.084250,15.387486
47,81,103.300000,98.907800,18.314202
47,82,103.300000,101.583050,10.490602
47,83,103.300000,100.757800,14.559475
47,84,103.300000,99.874850,16.974129
47,85,103.300000,99.896600,16.228999
47,86,103.300000,100.288800,15.425678
47,87,103.300000,99.491750,17.701536
47,88,103.300000,100.123575,16.199003
47,89,103.300000,99.705325,17.015364
47,90,103.300000,99.853128,16.960048
47,91,103.300000,100.475000,15.401488
47,92,103.300000,99.990800,16.209454
47,93,103.300000,100.969275,13.644940
47,94,103.300000,98.528803,20.838598
47,95,103.300000,100.679300,14.541769
47,96,103.300000,99.753325,16.964391
47,97,103.300000,100.455000,15.380404
47,98,103.300000,99.383078,19.000624
47,99,103.300000,98.515325,20.859617
