run,generation,best_gen_raw,avg_raw,std_dev_raw
8,0,0.001000,0.000008,0.000072
8,1,0.010000,0.000032,0.000505
8,2,0.001000,0.000013,0.000088
8,3,0.001000,0.000014,0.000089
8,4,0.010000,0.000076,0.000718
8,5,0.010000,0.000111,0.000876
8,6,0.010000,0.000055,0.000518
8,7,0.100000,0.000408,0.005116
8,8,0.010000,0.000104,0.000732
8,9,0.100000,0.001034,0.008742
8,10,0.100000,0.001276,0.010034
8,11,0.100000,0.000871,0.007241
8,12,0.100000,0.001582,0.011187
8,13,0.100000,0.001786,0.011236
8,14,30.000000,0.076770,1.499953
8,15,0.100000,0.002434,0.012352
8,16,35.900000,0.091745,1.794936
8,17,46.600000,0.120701,2.329857
8,18,41.700000,0.106934,2.084908
8,19,39.100000,0.101625,1.954869
8,20,0.100000,0.004367,0.017774
8,21,49.800000,0.226039,3.137084
8,22,50.800000,0.514148,4.587705
8,23,52.000000,0.599150,4.866177
8,24,58.100000,1.027324,6.527687
8,25,53.900000,0.716626,5.410040
8,26,52.800000,0.576278,5.097707
8,27,55.700000,0.705213,5.337111
8,28,53.900000,1.115582,6.646707
8,29,55.400000,1.753517,8.608121
8,30,55.800000,2.071443,9.347188
8,31,63.600000,2.674208,10.342248
8,32,60.700000,2.358199,10.096807
8,33,65.000000,3.385142,11.857596
8,34,59.000000,4.074526,12.901611
8,35,59.000000,3.518914,11.889903
8,36,62.000000,4.954570,14.260717
8,37,58.900000,5.643030,14.903846
8,38,67.800000,7.322178,16.849876
8,39,60.200000,8.162611,17.431387
8,40,67.000000,9.170958,18.709870
8,41,61.200000,8.436828,17.662693
8,42,68.600000,8.550820,18.168756
8,43,68.700000,10.762819,19.676713
8,44,65.900000,11.949736,20.600613
8,45,65.700000,11.704885,20.494339
8,46,70.800000,14.484237,22.265770
8,47,65.700000,14.225032,21.671893
8,48,62.600000,16.183285,22.103048
8,49,65.600000,16.368474,22.198297
8,50,65.000000,19.203045,23.303619
8,51,64.000000,19.374204,23.185576
8,52,64.700000,19.955451,23.313147
8,53,68.600000,23.218153,24.148878
8,54,67.900000,23.855751,24.066951
8,55,73.900000,23.740521,24.496351
8,56,67.600000,26.991470,24.292607
8,57,70.000000,27.164498,24.565879
8,58,74.500000,29.446716,24.945298
8,59,71.700000,29.894355,25.198044
8,60,72.000000,30.652905,25.605207
8,61,70.100000,32.883085,25.833268
8,62,72.000000,35.928190,24.622523
8,63,76.700000,36.850458,25.642353
8,64,72.700000,35.177503,26.646503
8,65,80.500000,38.383743,26.523268
8,66,74.800000,40.749968,25.660530
8,67,74.800000,41.133910,25.563228
8,68,73.900000,41.734635,26.196859
8,69,74.900000,42.882130,26.035202
8,70,81.700000,46.874833,25.589029
8,71,81.600000,49.467813,24.583179
8,72,81.600000,48.736825,26.120391
8,73,84.800000,51.090455,26.032441
8,74,84.800000,56.346905,23.168372
8,75,87.700000,55.007125,26.087529
8,76,86.600000,56.853875,25.768148
8,77,86.400000,59.250127,25.263895
8,78,90.500000,62.464625,23.391682
8,79,88.500000,63.416377,23.883065
8,80,90.400000,62.659225,25.433756
8,81,89.700000,64.609600,25.368189
8,82,92.500000,67.312375,23.925188
8,83,92.500000,64.954575,26.874246
8,84,92.500000,69.827250,22.990649
8,85,91.500000,70.601000,24.443047
8,86,94.400000,72.075850,23.324900
8,87,94.400000,72.363850,24.087604
8,88,95.400000,72.328800,26.050636
8,89,92.500000,73.316550,25.645751
8,90,94.400000,76.300250,22.801808
8,91,94.400000,75.137102,26.602668
8,92,94.400000,76.108552,25.968874
8,93,94.400000,79.767280,23.338065
8,94,94.400000,82.959775,20.600481
8,95,95.400000,85.770752,17.908437
8,96,95.400000,86.238025,17.994971
8,97,95.500000,86.898300,17.493020
8,98,95.400000,87.564803,17.024826
8,99,95.400000,88.671775,16.485760
