run,generation,best_gen_raw,avg_raw,std_dev_raw
26,0,0.000100,0.000001,0.000009
26,1,0.010000,0.000059,0.000711
26,2,0.100000,0.000283,0.005024
26,3,0.010000,0.000097,0.000872
26,4,0.010000,0.000040,0.000509
26,5,0.010000,0.000060,0.000527
26,6,0.001000,0.000043,0.000184
26,7,0.010000,0.000121,0.000881
26,8,0.100000,0.000461,0.005160
26,9,55.800000,0.139634,2.789993
26,10,0.100000,0.000413,0.005094
26,11,0.100000,0.000461,0.005138
26,12,47.700000,0.120479,2.384959
26,13,0.100000,0.000871,0.007225
26,14,0.100000,0.001704,0.011225
26,15,0.100000,0.001678,0.011208
26,16,48.000000,0.121506,2.399946
26,17,47.900000,0.122450,2.394906
26,18,46.900000,0.314849,3.589197
26,19,58.100000,0.269486,3.744173
26,20,56.600000,0.633556,5.177849
26,21,60.900000,0.492178,4.940026
26,22,60.500000,0.968978,6.801551
26,23,56.800000,0.723583,5.477818
26,24,46.000000,0.599229,4.808506
26,25,43.600000,0.318029,3.542542
26,26,54.800000,1.513348,8.014781
26,27,59.000000,1.667767,8.787269
26,28,69.800000,1.925243,9.873270
26,29,59.700000,2.708341,11.288140
26,30,58.700000,2.034802,9.693112
26,31,67.800000,2.471622,10.599034
26,32,61.700000,2.946687,11.493952
26,33,64.500000,4.076782,13.340528
26,34,70.400000,4.522165,14.203421
26,35,69.100000,4.492299,14.130060
26,36,68.500000,6.031334,16.458226
26,37,63.800000,5.844399,15.680139
26,38,67.500000,7.293871,17.697142
26,39,70.700000,8.920470,19.123606
26,40,72.600000,7.787941,17.894803
26,41,71.600000,7.952723,18.002611
26,42,68.500000,9.088267,19.685002
26,43,66.700000,9.844488,19.487037
26,44,68.600000,10.910282,20.826831
26,45,69.600000,13.334514,22.560974
26,46,65.000000,16.047162,23.621950
26,47,69.800000,18.944156,24.690257
26,48,73.600000,22.827369,25.793540
26,49,76.400000,21.458253,26.082210
26,50,71.500000,24.298585,26.603577
26,51,78.400000,24.710760,26.824380
26,52,75.500000,24.475588,27.170803
26,53,76.400000,25.421750,27.810412
26,54,71.900000,26.262922,27.977957
26,55,83.300000,29.588488,28.418110
26,56,78.000000,30.102631,28.965462
26,57,81.700000,31.450109,28.893397
26,58,78.400000,31.307808,28.897175
26,59,77.500000,35.109908,29.135774
26,60,82.600000,39.591436,29.095814
26,61,79.400000,39.917583,29.396104
26,62,85.900000,43.188033,29.095414
26,63,86.500000,45.045655,29.904340
26,64,83.700000,49.321795,27.812340
26,65,84.500000,45.389710,30.680217
26,66,83.800000,47.266233,30.453539
26,67,87.700000,47.939000,30.343747
26,68,83.500000,51.900632,29.015704
26,69,94.300000,57.484655,26.122098
26,70,86.600000,54.743525,29.491825
26,71,88.600000,57.003102,28.014723
26,72,88.300000,56.619855,28.982481
26,73,92.300000,56.318578,29.908793
26,74,87.800000,53.190005,31.897641
26,75,89.200000,56.804377,29.845471
26,76,93.500000,57.667875,29.820392
26,77,90.800000,56.995107,31.180781
26,78,96.300000,60.253875,30.012669
26,79,96.400000,60.793102,30.901596
26,80,97.500000,64.700625,29.192710
26,81,96.200000,63.803952,31.051049
26,82,97.400000,66.719175,28.996490
26,83,94.500000,71.362075,26.134193
26,84,98.500000,70.193375,28.875479
26,85,97.400000,72.899600,26.916667
26,86,98.200000,71.242850,29.631958
26,87,94.600000,74.265302,26.982058
26,88,97.400000,73.361377,28.514819
26,89,97.400000,77.677525,24.610608
26,90,98.500000,78.147350,26.094512
26,91,98.600000,78.901800,25.674923
26,92,95.200000,82.771750,20.512677
26,93,98.200000,81.811050,24.149935
26,94,99.400000,82.352525,24.251925
26,95,98.300000,83.850250,22.953261
26,96,99.200000,82.798875,25.926125
26,97,99.300000,85.865275,21.081501
26,98,99.300000,86.696050,22.619981
26,99,99.300000,89.702025,17.357655
